[TEL_J1]; INFO ; 2018-09-03 00:31:25.052; [QueueManager]; Sem processamento a 280 minutos; 
[TFCO_21]; INFO ; 2018-09-03 00:31:25.052; [QueueManager]; Sem processamento a 280 minutos; 
[IPSM]; DEBUG; 2018-09-03 00:33:03.613; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:33:03.618; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:33:03.622; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:33:03.622; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:35:03.626; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:35:03.632; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:35:03.639; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:35:03.639; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:36:10.690; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:36:10.844; [Gerenciamento]; Finalizado processo de envio do integrador ao Cold; 
[IPCM]; DEBUG; 2018-09-03 00:36:10.844; [Gerenciamento]; Iniciando limpeza de processos do Integrador SAT obsoletos; 
[IPSM]; DEBUG; 2018-09-03 00:37:03.644; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:37:03.648; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:37:03.652; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:37:03.652; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[TFC_1]; INFO ; 2018-09-03 00:37:21.594; [QueueManager]; Sem processamento a 240 minutos; 
[TC_1]; INFO ; 2018-09-03 00:37:25.598; [QueueManager]; Sem processamento a 240 minutos; 
[TI_1]; INFO ; 2018-09-03 00:37:26.599; [QueueManager]; Sem processamento a 240 minutos; 
[IPSM]; DEBUG; 2018-09-03 00:39:03.656; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:39:03.661; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:39:03.666; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:39:03.666; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPSM]; DEBUG; 2018-09-03 00:41:03.670; [Gerenciamento]; Buscando registro para serem reenfileirados na InProcess; 
[IPSM]; DEBUG; 2018-09-03 00:41:03.674; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:41:03.679; [Gerenciamento]; Foram encontrados 0 registros para serem reenfileirados; 
[IPSM]; DEBUG; 2018-09-03 00:41:03.679; [Gerenciamento]; Finalizado reenfileiramento de processos pendentes; 
[IPCM]; DEBUG; 2018-09-03 00:41:10.854; [Gerenciamento]; Buscando processos de integrador a serem enviados ao Cold; 
